id_estab,CODIGO,ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,DIRECCION,AREA,SECTOR,STATUS,JORNADA,PLAN,MODALIDAD,NIVEL,TELEFONO
06f96b71eb4d,14-01-5221-46,ESCUELA NORMAL BILINGUE INTERCULTURAL K´ICHE´ TIJOB´AL UTUX MAYAB´ WINAQ OXLAJUJ TZ´ I´,QUICHE,SANTA CRUZ DEL QUICHE,"CASERIO BUENA VISTA, XATINAP V",URBANA,OFICIAL,ABIERTA,DOBLE,DIARIO(REGULAR),BILINGUE,DIVERSIFICADO,77563721.0
06f96b71eb4d,14-01-0231-46,ESCUELA NORMAL BILINGÜE INTERCULTURAL K´ ICHE´ TIJOB´ ÄL UTÜX MAYAB´ WINÄQ OXLAJUJ TZ´ I´,QUICHE,SANTA CRUZ DEL QUICHE,"CASERIO BUENA VISTA, XATINAP V",RURAL,OFICIAL,ABIERTA,MATUTINA,DIARIO(REGULAR),BILINGUE,DIVERSIFICADO,77563721.0
072be5d650e0,15-04-0248-46,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,BAJA VERAPAZ,CUBULCO,CASERÍO CHIRUJ,RURAL,PRIVADO,ABIERTA,DOBLE,SEMIPRESENCIAL,MONOLINGUE,DIVERSIFICADO,54887718
072be5d650e0,15-04-0254-45,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,BAJA VERAPAZ,CUBULCO,CASERÍO CHIRUJ,URBANA,PRIVADO,ABIERTA,DOBLE,SEMIPRESENCIAL,MONOLINGUE,BASICO,33595715.0
08647a24e03f,14-01-0256-45,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,QUICHE,SANTA CRUZ DEL QUICHE,"10A. AVENIDA Y 3A, CALLE ZONA 3",RURAL,OFICIAL,ABIERTA,VESPERTINA,DIARIO(REGULAR),MONOLINGUE,BASICO,30960082.0
08647a24e03f,14-01-0257-46,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,QUICHE,SANTA CRUZ DEL QUICHE,"10A. AVENIDA Y 3A, CALLE ZONA 3",URBANA,OFICIAL,ABIERTA,VESPERTINA,DIARIO(REGULAR),MONOLINGUE,DIVERSIFICADO,44988120.0
0d212a311b1d,01-04-0026-45,INSTITUTO NACIONAL NITO PALENCIA MAYEN,GUATEMALA,SAN JOSE DEL GOLFO,4A. CALLE 3-01 ZONA 1,RURAL,OFICIAL,ABIERTA,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),MONOLINGUE,BASICO,66416637
0d212a311b1d,01-04-0025-46,INSTITUTO NACIONAL NITO PALENCIA MAYEN,GUATEMALA,SAN JOSE DEL GOLFO,4A. CALLE 3-01 ZONA 1,RURAL,OFICIAL,ABIERTA,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),MONOLINGUE,DIVERSIFICADO,66416637
0d212a311b1d,01-04-0006-45,INSTITUTO NACIONAL NITO PALENCIA MAYEN,GUATEMALA,SAN JOSE DEL GOLFO,"4A. CALLE 3-01, ZONA 1",URBANA,OFICIAL,ABIERTA,DOBLE,FIN DE SEMANA,MONOLINGUE,BASICO,55135441
0d212a311b1d,01-04-0009-46,INSTITUTO NACIONAL NITO PALENCIA MAYEN,GUATEMALA,SAN JOSE DEL GOLFO,4A. CALLE 3-01 ZONA 1,URBANA,OFICIAL,ABIERTA,DOBLE,FIN DE SEMANA,MONOLINGUE,DIVERSIFICADO,55135441
0d212a311b1d,01-04-0027-46,INSTITUTO NACIONAL NITO PALENCIA MAYÉN,GUATEMALA,SAN JOSE DEL GOLFO,4A. CALLE 3-01 ZONA 1,RURAL,OFICIAL,ABIERTA,DOBLE,FIN DE SEMANA,MONOLINGUE,DIVERSIFICADO,46815144
0e72732154e3,13-07-0056-46,"INSTITUTO PRIVADO MIXTO DIVERSIFICADO ""JACALTENANGO""",HUEHUETENANGO,JACALTENANGO,CANTÓN SAN SEBASTIÁN,RURAL,PRIVADO,ABIERTA,DOBLE,DIARIO(REGULAR),MONOLINGUE,DIVERSIFICADO,59851269.0
0e72732154e3,13-07-0065-45,"INSTITUTO PRIVADO MIXTO DIVERSIFICADO ""JACALTENANGO""",HUEHUETENANGO,JACALTENANGO,CANTÓN SAN SEBASTIAN,URBANA,PRIVADO,ABIERTA,DOBLE,FIN DE SEMANA,MONOLINGUE,BASICO,59851269.0
0e72732154e3,13-07-0064-46,"INSTITUTO PRIVADO MIXTO DIVERSIFICADO ""JACALTENANGO""",HUEHUETENANGO,JACALTENANGO,CANTÓN SAN SEBASTIAN,URBANA,PRIVADO,ABIERTA,DOBLE,FIN DE SEMANA,MONOLINGUE,DIVERSIFICADO,59851269.0
0e72732154e3,13-07-0055-46,"INSTITUTO PRIVADO MIXTO DIVERSIFICADO ""JACALTENANGO""",HUEHUETENANGO,JACALTENANGO,CANTÓN SAN SEBASTIÁN,URBANA,PRIVADO,ABIERTA,VESPERTINA,DIARIO(REGULAR),BILINGUE,DIVERSIFICADO,40902970.0
0e72732154e3,13-07-6385-46,INSTITUTO PRIVADO MIXTO DIVERSIFICADO JACALTENANGO,HUEHUETENANGO,JACALTENANGO,CANTÓN SAN SEBASTIÁN,URBANA,PRIVADO,ABIERTA,MATUTINA,DIARIO(REGULAR),BILINGUE,DIVERSIFICADO,40902970.0
0f4aee16e515,01-15-0234-46,COLEGIO RAFAEL AREVALO MARTINEZ,GUATEMALA,VILLA NUEVA,"7A. AVENIDA, 7-55, ZONA 3, BARCENAS",RURAL,PRIVADO,ABIERTA,VESPERTINA,DIARIO(REGULAR),MONOLINGUE,DIVERSIFICADO,66269330
0f4aee16e515,01-15-0479-46,COLEGIO RAFAEL AREVALO MARTÍNEZ,GUATEMALA,VILLA NUEVA,"7A. AVENIDA 7-55, ZONA 3, BÁRCENAS",URBANA,PRIVADO,ABIERTA,DOBLE,FIN DE SEMANA,MONOLINGUE,DIVERSIFICADO,66269330
138d6ba41311,07-01-0196-45,CENTRO EDUCATIVO INTERCULTURAL PARA EL DESARROLLO COMUNITARIO CEIDECO,SOLOLA,SOLOLA,5AV. 2-28 ZONA 1 BARRIO SAN ANTONIO,RURAL,PRIVADO,ABIERTA,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),MONOLINGUE,BASICO,55629690.0
138d6ba41311,07-01-0195-46,CENTRO EDUCATIVO INTERCULTURAL PARA EL DESARROLLO COMUNITARIO CEIDECO,SOLOLA,SOLOLA,5AV. 2-28 ZONA 1 BARRIO SAN ANTONIO,URBANA,PRIVADO,ABIERTA,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),MONOLINGUE,DIVERSIFICADO,55629690.0
16f4539030cc,14-11-0068-46,COLEGIO EVANGÉLICO HOREB,QUICHE,SAN JUAN COTZAL,CANTÓN VATZOSINAY,RURAL,PRIVADO,ABIERTA,VESPERTINA,DIARIO(REGULAR),BILINGUE,DIVERSIFICADO,46329643.0
16f4539030cc,14-11-0053-45,COLEGIO EVANGÉLICO HOREB,QUICHE,SAN JUAN COTZAL,CANTÓN VATZOSINAY,URBANA,PRIVADO,ABIERTA,MATUTINA,DIARIO(REGULAR),MONOLINGUE,BASICO,46329643.0
1aab1b15765a,12-29-0050-46,"COLEGIO CRISTIANO PREUNIVERSITARIO ""EL REFORMADOR""",SAN MARCOS,SAN LORENZO,CANTÓN POZA VERDE,RURAL,PRIVADO,ABIERTA,DOBLE,DIARIO(REGULAR),MONOLINGUE,DIVERSIFICADO,59826896.0
1aab1b15765a,12-29-0048-45,"COLEGIO CRISTIANO PREUNIVERSITARIO ""EL REFORMADOR""",SAN MARCOS,SAN LORENZO,CANTÓN POZA VERDE,RURAL,PRIVADO,ABIERTA,DOBLE,FIN DE SEMANA,MONOLINGUE,BASICO,59826896.0
1aab1b15765a,12-29-0046-46,"COLEGIO CRISTIANO PREUNIVERSITARIO ""EL REFORMADOR""",SAN MARCOS,SAN LORENZO,CANTÓN POZA VERDE,RURAL,PRIVADO,ABIERTA,DOBLE,FIN DE SEMANA,MONOLINGUE,DIVERSIFICADO,59826896.0
1aab1b15765a,12-29-0047-45,"COLEGIO CRISTIANO PREUNIVERSITARIO ""EL REFORMADOR""",SAN MARCOS,SAN LORENZO,CANTÓN POZA VERDE,RURAL,PRIVADO,ABIERTA,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),MONOLINGUE,BASICO,59826896.0
1aab1b15765a,12-29-0049-45,"COLEGIO CRISTIANO PREUNIVERSITARIO ""EL REFORMADOR""",SAN MARCOS,SAN LORENZO,CANTÓN POZA VERDE,RURAL,PRIVADO,ABIERTA,VESPERTINA,DIARIO(REGULAR),MONOLINGUE,BASICO,5982689.0
1aab1b15765a,12-29-0051-46,"COLEGIO CRISTIANO PREUNIVERSITARIO ""EL REFORMADOR""",SAN MARCOS,SAN LORENZO,CANTÓN POZA VERDE,RURAL,PRIVADO,ABIERTA,VESPERTINA,DIARIO(REGULAR),MONOLINGUE,DIVERSIFICADO,59826896.0
