id_estab,ESTABLECIMIENTO,MUNICIPIO,DIRECCION,rows,area_dist,area_top,area_top_count,area_top_pct
bf4f605a42a5,INSTITUTO EVANGÉLICO AMÉRICA LATINA,CHIMALTENANGO,6A. AVENIDA 3-48 ZONA 5,10,URBANA:9; RURAL:1,URBANA,9,0.9
4ecaec588c42,COLEGIO TECNOLOGICO EN INFORMATICA MILJU-NET,TIQUISATE,ALDEA TICANLU,8,RURAL:7; URBANA:1,RURAL,7,0.875
1aab1b15765a,"COLEGIO CRISTIANO PREUNIVERSITARIO ""EL REFORMADOR""",SAN LORENZO,CANTÓN POZA VERDE,7,RURAL:6; URBANA:1,RURAL,6,0.857
540c5a848087,LICEO TÉCNICO INDUSTRIAL MAYA TIKAL,VILLA NUEVA,3A. CALLE 9-50 ZONA 1,6,URBANA:5; RURAL:1,URBANA,5,0.833
cb0f40657242,COLEGIO PARTICULAR MIXTO 'MATIAS DE GALVEZ',PUERTO BARRIOS,"COLONIA PIEDRAS NEGRAS, ALDEA SANTO TOMÁS DE CASTILLA",6,RURAL:5; URBANA:1,RURAL,5,0.833
0e72732154e3,"INSTITUTO PRIVADO MIXTO DIVERSIFICADO ""JACALTENANGO""",JACALTENANGO,CANTÓN SAN SEBASTIAN,5,URBANA:4; RURAL:1,URBANA,4,0.8
242033e1a2fb,INSTITUTO TECNOLOGÍA Y CIENCIA,TIQUISATE,"VILLA CHINITO, KILOMETRO 143 FRENTE AL HOSPITAL NACIONAL",5,URBANA:4; RURAL:1,URBANA,4,0.8
c4b19b81c075,"INSTITUTO MIXTO DE EDUCACIÓN DE ORIENTE ""IMIDEO NÉRICI""",MOYUTA,ALDEA LOS ACHIOTES,5,RURAL:4; URBANA:1,RURAL,4,0.8
d56d440d9373,"COLEGIO PARTICULAR MIXTO ""BRISAS DEL CHINGO""",YUPILTEPEQUE,ALDEA ESTANZUELA,5,RURAL:4; URBANA:1,RURAL,4,0.8
e87bff5cf463,COLEGIO INTERNACIONAL FUTURE LEARNING CENTER -FLC-,ESCUINTLA,KM. 60 LA FELICIDAD SALIDA A PUERTO SAN JOSÉ.,5,RURAL:4; URBANA:1,RURAL,4,0.8
25e6d27a681d,LICEO MIXTO MONTE HOREB,FRAIJANES,2A. AVENIDA 9-75 ZONA 1,9,URBANA:7; RURAL:2,URBANA,7,0.778
62559d23cf1e,CENTRO EDUCATIVO MAYA SYSTEMS,MORALES,ALDEA LOS ANDES,8,RURAL:6; URBANA:2,RURAL,6,0.75
34e0940dfbee,LICEO DE CIENCIAS TECNICAS EL REDENTOR,SAN BENITO,BARRIO 3 DE ABRIL.,4,URBANA:3; RURAL:1,URBANA,3,0.75
3a811ca2b6ce,COLEGIO MIXTO INTEGRAL SANTIAGO,ANTIGUA GUATEMALA,LOTIFICACION EL COROZAL NO.6-7 ALDEA SANTA ANA,4,RURAL:3; URBANA:1,RURAL,3,0.75
