CODIGO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,AREA,SECTOR,flag_cambiado,flag_sospechoso
01-16-0178-45,GUATEMALA,VILLA CANALES,COLEGIO CARLOS ENRIQUE PÉREZ RAMÍREZ,"2A. CALLE ""A"" 4-41 ZONA 1 BOCA DEL MONTE",URBANA,PRIVADO,True,False
13-01-0156-46,HUEHUETENANGO,HUEHUETENANGO,COLEGIO SAN FRANCISCO JAVIER DE HUEHUETENANGO,CORRAL CHIQUITO ZONA 8,URBANA,PRIVADO,True,False
01-16-9000-45,GUATEMALA,VILLA CANALES,LICEO MIXTO QUIRIGUA,"CASA 5-I, COLONIA PANORAMA DEL VALLE",URBANA,PRIVADO,True,False
01-16-0173-46,GUATEMALA,VILLA CANALES,LICEO PREUNIVERSITARIO DE INFORMÁTICA Y TECNOLOGÍA,1A. AVENIDA 1-41 ZONA 2 ALDEA EL PORVENIR,URBANA,PRIVADO,True,False
00-12-0105-45,CIUDAD CAPITAL,ZONA 12,COORDINACION DEPARTAMENTAL DE TELESECUNDARIA GUATEMALA SUR,"AVENIDA PETAPA 47-79, ZONA 12, PLAZA GRECIA",URBANA,OFICIAL,True,False
01-08-0985-45,GUATEMALA,MIXCO,"LICEO TECNOLOGICO DE GUATEMALA ""ELOHIM"" NO. 2","8A. CALLE 29-03, EL AGUACATE, ZONA 9",URBANA,PRIVADO,True,False
09-23-0009-45,QUETZALTENANGO,LA ESPERANZA,INEB,2A. AVE. A 2-20 ZONA 4,URBANA,OFICIAL,True,False
01-16-0149-45,GUATEMALA,VILLA CANALES,COLEGIO TÉCNICO SUIZO,2. CALLE 1-38 ZONA 1 GUATEMALA,URBANA,PRIVADO,True,False
01-15-0794-45,GUATEMALA,VILLA NUEVA,"INSTITUTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA ""LOS OLIVOS""","PARCELA 61 COLONIA MONTE DE LOS OLIVOS ZONA 3 BARCENAS, VILLA NUEVA",URBANA,COOPERATIVA,True,False
00-07-0005-45,CIUDAD CAPITAL,ZONA 7,INEB,"COLONIA EL GRANIZO ""B""",URBANA,OFICIAL,True,False
01-02-0048-46,GUATEMALA,SANTA CATARINA PINULA,COLEGIO TECNOLOGICO SINAI,"LOTE 88 ""A"" ZONA 6 ALDEA PIEDRA PARADA CRISTO REY",URBANA,PRIVADO,True,False
09-01-0202-45,QUETZALTENANGO,QUETZALTENANGO,INEB DE TELESECUNDARIA,14 CALLE D11B-91 ZONA 1,URBANA,OFICIAL,True,False
01-16-0180-45,GUATEMALA,VILLA CANALES,LICEO PROFESIONAL DE COMPUTACIÓN MANUEL GALICH,2A. CALLE 3-61 ZONA 1 ALDEA BOCA DEL MONTE,URBANA,PRIVADO,True,False
09-01-3823-45,QUETZALTENANGO,QUETZALTENANGO,IEBC,"CANTON CHOQUI, ZONA 6",URBANA,COOPERATIVA,True,False
