CODIGO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,AREA,SECTOR,passes_len_relajada,has_urban_tok,has_rural_tok,has_zona,zona_with_num,has_km,is_cabecera_heur,passes_area_rule_soft2,direccion_plausible_soft2,flag_rural_zona_num,flag_urb_km_no_context,veredicto_len,veredicto_tokens,veredicto_area_rule,auditor,fecha_revision,comentarios
00-13-0943-45,CIUDAD CAPITAL,ZONA 13,INSTITUTO EVANGELICO AMERICA LATINA (CURSOS DE EXTENSION),3A AVE. 1-44 (PAMPLONA),URBANA,PRIVADO,True,False,False,False,False,False,False,False,False,False,False,,,,,,
10-21-0035-45,SUCHITEPEQUEZ,SAN JOSE LA MAQUINA,INEB DE TELESECUNDARIA,LINEA A-9,RURAL,OFICIAL,False,False,False,False,False,False,False,False,False,False,False,,,,,,
05-04-0262-45,ESCUINTLA,SIQUINALA,IEBC DE ENSEÑANZA PROFESOR GUILLERMO ARMANDO DAVILA HERNANDEZ,INTERIOR ESTADIO MUNICIPAL,URBANA,COOPERATIVA,True,False,False,False,False,False,False,False,False,False,False,,,,,,
16-09-0848-46,ALTA VERAPAZ,SAN PEDRO CARCHA,CENTRO DE EDUCACIÓN EXTRAESCOLAR,SAN PEDRO CARCHA,URBANA,OFICIAL,True,False,False,False,False,False,False,False,False,False,False,,,,,,
17-01-0156-46,PETEN,FLORES,CENTRO DE EDUCACION EXTRAESCOLAR-CEEX-DEPARTAMENTAL,5TA.CALLE Y 3RA AV.ZONA 2 SANTA ELENA,RURAL,OFICIAL,True,True,False,True,True,False,False,False,False,True,False,,,,,,
05-01-0372-45,ESCUINTLA,ESCUINTLA,COLEGIO CRISTIANO MONTE MORIAH,2DA. AVENIDA 3-80 ZONA 3 COLONIA AGUAS VIVAS,RURAL,PRIVADO,True,True,False,True,True,False,False,False,False,True,False,,,,,,
22-06-0036-45,JUTIAPA,YUPILTEPEQUE,"LICEO MIXTO EN COMPUTACIÓN ""MIRALVALLE NO. 2""",LOTE 12 Y 13 LOTIFICACIÓN VALLE VERDE,URBANA,PRIVADO,True,False,True,False,False,False,False,False,False,False,False,,,,,,
01-06-7535-45,GUATEMALA,CHINAUTLA,CENTRO ESTUDIANTIL CRISTIANO 'JOSE GILBERTO VELASQUEZ',"SECTOR 2 LOTE 99, SAN JULIAN NUEVA CHINAUTLA ALDEA JOCOTALES",URBANA,PRIVADO,True,False,True,False,False,False,False,False,False,False,False,,,,,,
13-01-0386-46,HUEHUETENANGO,HUEHUETENANGO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,"9º. CALLEJÓN ""B"" 12-94, ZONA 4, SECTOR LOS OLIVOS ""EL TERRERO""",RURAL,OFICIAL,True,True,True,True,True,False,False,True,True,True,False,,,,,,
01-15-0080-45,GUATEMALA,VILLA NUEVA,INEB DE TELESECUNDARIA,VILLA LOBOS NORTE,RURAL,OFICIAL,True,False,False,False,False,False,False,False,False,False,False,,,,,,
04-13-0036-45,CHIMALTENANGO,SAN ANDRES ITZAPA,LICEO CAMPO ALEGRE,CANTÓN SAN PEDRO Y SAN PABLO,URBANA,PRIVADO,True,False,True,False,False,False,False,False,False,False,False,,,,,,
01-16-9000-45,GUATEMALA,VILLA CANALES,LICEO MIXTO QUIRIGUA,"CASA 5-I, COLONIA PANORAMA DEL VALLE",RURAL,PRIVADO,True,True,False,False,False,False,False,False,False,False,False,,,,,,
11-02-0061-46,RETALHULEU,SAN SEBASTIAN,COLEGIO PRIVADO MIXTO SAN SEBASTIÁN,CANTON SAMALA 1,URBANA,PRIVADO,True,False,True,False,False,False,False,False,False,False,False,,,,,,
17-11-0039-46,PETEN,MELCHOR DE MENCOS,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO SANTA ELENA,RURAL,OFICIAL,True,True,False,False,False,False,False,False,False,False,False,,,,,,
