token,RURAL,URBANA,total,p_urbana
ZONA,0,6102,6102,1.0
CABECERA,0,415,415,1.0
4TA,0,237,237,1.0
MIXCO,0,155,155,1.0
10A,0,99,99,1.0
PETAPA,0,62,62,1.0
BOULEVARD,0,61,61,1.0
QUINTA,0,47,47,1.0
1ERA,0,46,46,1.0
SAMAYOA,0,42,42,1.0
CHIPILAPA,0,41,41,1.0
BARCENAS,0,39,39,1.0
MINERVA,0,38,38,1.0
8VA,0,33,33,1.0
ALAMOS,0,33,33,1.0
MONSERRAT,0,32,32,1.0
ROJAS,0,32,32,1.0
JUNIO,0,30,30,1.0
MONTSERRAT,0,30,30,1.0
COL,0,28,28,1.0
COMPLEJO,0,28,28,1.0
EDIFICIO,0,28,28,1.0
AGUILAR,0,26,26,1.0
CALLES,0,26,26,1.0
BATRES,0,25,25,1.0
ESTADIO,0,25,25,1.0
BILBAO,0,22,22,1.0
MITCHAL,0,22,22,1.0
EDUCATIVO,0,21,21,1.0
QUINTAS,0,21,21,1.0
12A,0,19,19,1.0
BARCENA,0,18,18,1.0
CHAPARRON,0,18,18,1.0
APOSENTOS,0,17,17,1.0
CASCO,0,17,17,1.0
MORAN,0,17,17,1.0
PROLONGACION,0,17,17,1.0
GASPAR,0,16,16,1.0
GUAJITOS,0,16,16,1.0
11A,0,15,15,1.0
3AV,0,15,15,1.0
EUCALIPTOS,0,15,15,1.0
HERREROS,0,15,15,1.0
2AV,0,14,14,1.0
9NA,0,14,14,1.0
AVENIDAS,0,14,14,1.0
FEDERAL,0,14,14,1.0
FILOMENA,0,14,14,1.0
GONZALEZ,0,14,14,1.0
JULIO,0,14,14,1.0
LANDIVAR,0,14,14,1.0
TIKAL,0,14,14,1.0
ELISA,0,13,13,1.0
ETERNA,0,13,13,1.0
GUITE,0,13,13,1.0
PERU,0,13,13,1.0
REFORMITA,0,13,13,1.0
URBANIZACION,0,13,13,1.0
ALBORADA,0,12,12,1.0
ATLANTIDA,0,12,12,1.0
CASONA,0,12,12,1.0
CHARCAS,0,12,12,1.0
CONDOR,0,12,12,1.0
ESCUINTLA,0,12,12,1.0
JOAQUIN,0,12,12,1.0
NAVIDAD,0,12,12,1.0
QUETZALTENANGO,0,12,12,1.0
ZACULEU,0,12,12,1.0
15A,0,11,11,1.0
FRUTAL,0,11,11,1.0
JULIAN,0,11,11,1.0
MEZQUITAL,0,11,11,1.0
PANAMA,0,11,11,1.0
ROBLE,0,11,11,1.0
13A,0,10,10,1.0
5AV,0,10,10,1.0
9AV,0,10,10,1.0
ALEJOS,0,10,10,1.0
AMERICAS,0,10,10,1.0
CAMINERO,0,10,10,1.0
MARTI,0,10,10,1.0
PROYECTO,0,10,10,1.0
RODRIGUEZ,0,10,10,1.0
SAMUC,0,10,10,1.0
SEMINARIO,0,10,10,1.0
SOL,0,10,10,1.0
43A,0,9,9,1.0
AGUAS,0,9,9,1.0
APTO,0,9,9,1.0
ASIOLE,0,9,9,1.0
BONILLA,0,9,9,1.0
COMERCIO,0,9,9,1.0
DORADO,0,9,9,1.0
EUREKA,0,9,9,1.0
HICHOS,0,9,9,1.0
HUEHUETENANGO,0,9,9,1.0
IGLESIA,0,9,9,1.0
ITALIA,0,9,9,1.0
MAESTRO,0,9,9,1.0
RECREO,0,9,9,1.0
SUPER,0,9,9,1.0
TOLEDO,0,9,9,1.0
AREVALO,0,8,8,1.0
BULEVAR,0,8,8,1.0
CASTRO,0,8,8,1.0
CAYALA,0,8,8,1.0
CERVECERO,0,8,8,1.0
CHACARA,0,8,8,1.0
COLOMBITA,0,8,8,1.0
COMERCIAL,0,8,8,1.0
FUNDABIEN,0,8,8,1.0
LAVARREDA,0,8,8,1.0
LUQUITAS,0,8,8,1.0
OBREGON,0,8,8,1.0
RAMIREZ,0,8,8,1.0
ZAPOTITLAN,0,8,8,1.0
10AV,0,7,7,1.0
11AV,0,7,7,1.0
12AV,0,7,7,1.0
159F,0,7,7,1.0
160F,0,7,7,1.0
21A,0,7,7,1.0
4AV,0,7,7,1.0
BALCONES,0,7,7,1.0
BANCO,0,7,7,1.0
