CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-0154-45,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL DE EDUCACION BASICA O DE CULTURA GENERAL MARIA LUISA SAMAYOA LANUZA,10A AVE. 9-42,22518808,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,ZOILA MARINA PALALA GUDIEL,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0155-45,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACION BASICA CON ORIENTACION OCUPACIONAL PEMEM II,3A CALLE 15-45,51304523,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,MARIA ELIZABETH CARRERA OLIVA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0156-45,01-403,CIUDAD CAPITAL,ZONA 1,"INEB JN, ""PEDRO ARRIAZA MATA""",10A AVE. 12-01,22383239,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,BRUNO LUIS VIAU GARCÍA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0157-45,01-312,CIUDAD CAPITAL,ZONA 1,IPSB VIRGEN PODEROSA CASA CENTRAL,2A AVE. 13-12,22214137,AMADO SALOMON FLORES PEREZ,SOR LIDIA MARÍA HERNÁNDEZ PÉREZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0159-45,01-312,CIUDAD CAPITAL,ZONA 1,IPMB COLEGIO SANTA SOFIA,13 CALLE 3-44,41477208,AMADO SALOMON FLORES PEREZ,MIGUEL ANGEL LÁZARO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0161-45,01-318,CIUDAD CAPITAL,ZONA 1,IPMB COLEGIO LOYOLA,12 AVE. 4-30,22044800,LESLIE AZUCENA MONZON TECUN,CARMEN ROSA PINEDA CORONADO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0164-45,01-318,CIUDAD CAPITAL,ZONA 1,LICEO CANADIENSE,11 CALLE 1-53,23750055,LESLIE AZUCENA MONZON TECUN,ADA LUCRECIA MIJANGOS TEO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0166-45,01-315,CIUDAD CAPITAL,ZONA 1,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCIÓN,"3A, CALLE 7-64",22326173,AURA MARINA GARRIDO MORALES,ELUBIA ANAYTE SIGUENZA MONTERROSO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0189-45,01-627,CIUDAD CAPITAL,ZONA 1,INSTITUTO FEDERICO CROWE POR MADUREZ,4A. AVENIDA 9-66,22517748,ISAURA AMPARO RECINOS CARRILLO,MANUEL ALEJANDRO AGUILAR ROMERO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-01-0202-45,01-312,CIUDAD CAPITAL,ZONA 1,"INSTITUTO MIXTO ""MIGUEL DE CERVANTES""",10ª. CALLE 1-47,24593860,AMADO SALOMON FLORES PEREZ,CARLOS RENE ESCOBAR MONTENEGRO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0204-45,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA ADSCRITO AL INSTITUTO NORMAL PARA SEÑORITAS CENTRO AMERICA (I.N.C.A),1A. CALLE 2-64 1,22323414,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,INGRID MARIELA ESPINA ORELLANA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0205-45,01-317,CIUDAD CAPITAL,ZONA 1,"INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA ADSCRITO AL INSTITUTO NORMAL CENTRAL PARA SEÑORITAS ""BELEN""",11 AVENIDA 12-20,22321609,MARIANO DOMINGO ESTRADA TELETOR,ELSA CORALIA LEÓN BARRIOS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0206-45,01-307,CIUDAD CAPITAL,ZONA 1,INEB ADSCRITO INSTITUTO RAFAEL AQUECHE,"9A CALLE 2-36,",22326422,NORMA ARACELY PALOMO FRANCO DE DIAZ,EVA ANGELINA RAMIREZ IXCAMPARIJ DE RAMÍREZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0207-45,01-307,CIUDAD CAPITAL,ZONA 1,INEB ADSCRITO INSTITUTO NORMAL MIXTO ¨RAFAEL AQUECHE¨,9A CALLE 2-36,22533274,NORMA ARACELY PALOMO FRANCO DE DIAZ,FREDY AMILCAR CRUZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0208-45,01-403,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA ADSCRITO AL INSTITUTO NORMAL MIXTO NOCTURNO,9A AVE. 9-27,55696890,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,SANTOS PALMA CONTRERAS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0209-45,01-304,CIUDAD CAPITAL,ZONA 1,IPVB COLEGIO PARROQUIAL DEL CALVARIO MATEO PERRONE,6A. AVENIDA 18-23,22322912,AMADO SALOMON FLORES PEREZ,CARLOS MUÑOZ CASTILLO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0210-45,01-318,CIUDAD CAPITAL,ZONA 1,COLEGIO CATOLICO SAN PABLO,14 CALLE A 2-41,22305024,LESLIE AZUCENA MONZON TECUN,EDGAR VINICIO PALENCIA PACHECO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0211-45,01-318,CIUDAD CAPITAL,ZONA 1,COLEGIO PARA VARONES SAN SEBASTIAN,2A CALLE 6-56,22536602,LESLIE AZUCENA MONZON TECUN,EDGAR ROLANDO MARROQUÍN AMADO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0212-45,01-307,CIUDAD CAPITAL,ZONA 1,"COLEGIO SALESIANO ""DON BOSCO""",26 CALLE 2-46 GUATEMALA,22465117,NORMA ARACELY PALOMO FRANCO DE DIAZ,MANUEL VICENTE GUERRA DUARTE,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0216-45,01-403,CIUDAD CAPITAL,ZONA 1,LICEO TECNOLÓGICO GUATEMALA DE LA ASUNCIÓN,3A. CALLE 7-64,54452951,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,ELUBIA ANAYTE SIGUENZA MONTERROSO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-0220-45,01-312,CIUDAD CAPITAL,ZONA 1,IPSB 'LICEO FRANCES',5A AVE. 9-80,22325538,AMADO SALOMON FLORES PEREZ,ANA MARIA ESTRADA RAMIREZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0222-45,01-317,CIUDAD CAPITAL,ZONA 1,"COLEGIO ""SANTA MONICA""",10A CALLE 11-41,22329121,MARIANO DOMINGO ESTRADA TELETOR,CONCEPCIÓN ARELY LÓPEZ NAVAS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0223-45,01-312,CIUDAD CAPITAL,ZONA 1,COLEGIO EL ROSARIO,15 CALLE A 2-74,22320361,AMADO SALOMON FLORES PEREZ,TERESITA BEATRIZ HARANZEN QUINTEROS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
