CODIGO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,AREA,SECTOR,razon
16-01-0139-45,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,URBANA,PRIVADO,URBANA_KM_SIN_CONTEXTO
16-01-0409-45,ALTA VERAPAZ,COBAN,INEB,EL ESFUERZO I,RURAL,OFICIAL,SIN_TOKENS
16-01-0455-45,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,LOTIFICACION GUALOM SA XYANQTZUUL,RURAL,OFICIAL,SIN_TOKENS
16-01-1010-45,ALTA VERAPAZ,COBAN,AMI INTERNATIONAL SCHOOL,KM. 222.3 ALDEA SIGUANHÁ,URBANA,PRIVADO,URBANA_KM_SIN_CONTEXTO
16-01-8485-45,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,LOTIFICACIÓN CHAJCHUCUB,RURAL,OFICIAL,SIN_TOKENS
16-04-8338-45,ALTA VERAPAZ,TACTIC,COLEGIO PRIVADO MIXTO LA ENSEÑANZA,12 AVENIDA A 4-30 ZONA 3,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
16-05-0015-45,ALTA VERAPAZ,TAMAHU,INEB,JOSE JUAQUIN PALMA,RURAL,OFICIAL,SIN_TOKENS
16-06-0094-45,ALTA VERAPAZ,SAN MIGUEL TUCURU,INSTITUTO NACIONAL DE EDUCACIÓN BASICA TELESECUNDARIA,SEPILAPEC BELLA VISTA,RURAL,OFICIAL,SIN_TOKENS
16-07-0115-45,ALTA VERAPAZ,PANZOS,INEB,BARRIO EL CENTRO,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
16-07-0251-45,ALTA VERAPAZ,PANZOS,COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO,COLONIA SANTA ISABEL,RURAL,PRIVADO,RURAL_SOLO_TOKENS_URBANOS
16-08-0138-45,ALTA VERAPAZ,SENAHU,INEB DE TELESECUNDARIA,COOPERATIVA CHIREAJ,RURAL,OFICIAL,SIN_TOKENS
16-08-0228-45,ALTA VERAPAZ,SENAHU,IEBC INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA DE ENSEÑANZA,COLONIA BELLA VISTA SESOCH,RURAL,COOPERATIVA,RURAL_SOLO_TOKENS_URBANOS
16-09-0826-45,ALTA VERAPAZ,SAN PEDRO CARCHA,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA DE TELESECUNDARIA,SEHUBUB CHIQUIXJI,RURAL,OFICIAL,SIN_TOKENS
16-10-0073-45,ALTA VERAPAZ,SAN JUAN CHAMELCO,LICEO GUATEMALTECO VERAPACENSE,BARRRIO RESURRECCIÓN,URBANA,PRIVADO,SIN_TOKENS
