CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,fecha_fuente,fecha_ingesta,version_dataset,staleness_days,puntualidad_status,val_telefono_ok,val_codigo_ok,TELEFONO_ORIGINAL,TELEFONO_LIMPIO,inconsistencia_depto_muni,conflicto_sector,conflicto_area,conflicto_status,SECTOR_ORIGINAL,SECTOR_CORREGIDO
16-01-0026-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-98 ZONA 3,5710-1061,PATRICIO NAJARRO ASENCIO,MYNOR GUSTAVO IPIÑA ESPAÑA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,2025-08-14,2025-08-14,v1.0,0,AL_DIA,True,True,57101061,5710-1061,False,False,False,False,PRIVADO,PRIVADO
16-01-0135-45,16-005,ALTA VERAPAZ,COBAN,INEB ADSCRITO A INSTITUTO 'EMILIO ROSALES PONCE',3A AVE 6-23 ZONA 11,7952-9782,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,BASICO,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,2025-08-14,2025-08-14,v1.0,0,AL_DIA,True,True,79529782,7952-9782,False,False,False,False,OFICIAL,OFICIAL
16-01-0136-45,16-005,ALTA VERAPAZ,COBAN,INEB,6A AVE 1-15 ZONA 4,7951-3568,NORA LILIANA FIGUEROA HERNÁNDEZ,WUENDY LUCRECIA ESTRADA BEDOYA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,2025-08-14,2025-08-14,v1.0,0,AL_DIA,True,True,79513568,7951-3568,False,False,False,False,OFICIAL,OFICIAL
16-01-0138-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO COBAN,"KM.2 SALIDA A SAN JUAN CHAMELCO, ZONA 8",7794-5104,PATRICIO NAJARRO ASENCIO,GUSTAVO ADOLFO SIERRA POP,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,2025-08-14,2025-08-14,v1.0,0,AL_DIA,True,True,77945104,7794-5104,False,False,False,False,PRIVADO,PRIVADO
16-01-0139-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,7736-7402,PATRICIO NAJARRO ASENCIO,GILMA DOLORES GUAY PAZ DE LEAL,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,2025-08-14,2025-08-14,v1.0,0,AL_DIA,True,True,77367402,7736-7402,False,False,False,False,PRIVADO,PRIVADO
16-01-0140-45,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A. AVENIDA 11-109 ZONA 6,7823-2301,PATRICIO NAJARRO ASENCIO,VIRGINIA SOLANO SERRANO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,2025-08-14,2025-08-14,v1.0,0,AL_DIA,True,True,78232301,7823-2301,False,False,False,False,PRIVADO,PRIVADO
16-01-0146-45,16-003,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,ALDEA SAMOX SAN LUCAS,3183-6449,JOSE ARTURO CHOC CHEN,DEBORA ESMERALDA NATARENO FLORES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,2025-08-14,2025-08-14,v1.0,0,AL_DIA,True,True,31836449,3183-6449,False,False,False,False,OFICIAL,OFICIAL
16-01-0148-45,16-003,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,ALDEA CAMCAL,4534-1151,JOSE ARTURO CHOC CHEN,DOMINGO TOT COY,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,2025-08-14,2025-08-14,v1.0,0,AL_DIA,True,True,45341151,4534-1151,False,False,False,False,OFICIAL,OFICIAL
16-01-0154-45,16-031,ALTA VERAPAZ,COBAN,"LICEO ""MODERNO LATINO""",11 AVENIDA 5-17 ZONA 4,7952-2555,PATRICIO NAJARRO ASENCIO,HÉCTOR ARMANDO TEYUL CHEN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,2025-08-14,2025-08-14,v1.0,0,AL_DIA,True,True,79522555,7952-2555,False,False,False,False,PRIVADO,PRIVADO
16-01-0391-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA,"2A. CALLE 12-23, ZONA 4",7951-1459,PATRICIO NAJARRO ASENCIO,JORGE SALVADOR JUÁREZ SIERRA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,2025-08-14,2025-08-14,v1.0,0,AL_DIA,True,True,79511459,7951-1459,False,False,False,False,PRIVADO,PRIVADO
16-01-0395-45,16-035,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,COMUNIDAD NIMLASACHAL,3342-3152,MARBIN ARIEL CHOC CAAL,SALOMON TENI,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,2025-08-14,2025-08-14,v1.0,0,AL_DIA,True,True,33423152,3342-3152,False,False,False,False,OFICIAL,OFICIAL
16-01-0397-45,16-034,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA MONTE OLIVO,nan,FELIPE CHO TUT,JOSE MAAZ CHOC,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,2025-08-14,2025-08-14,v1.0,0,AL_DIA,False,True,nan,NO DISPONIBLE,False,False,False,False,OFICIAL,OFICIAL
