CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,id_estab
16-01-0026-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-98 ZONA 3,5710-1061,PATRICIO NAJARRO ASENCIO,MYNOR GUSTAVO IPIÑA ESPAÑA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,60f1b8d4a9f5
16-01-0135-45,16-005,ALTA VERAPAZ,COBAN,INEB ADSCRITO A INSTITUTO 'EMILIO ROSALES PONCE',3A AVE 6-23 ZONA 11,7952-9782,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,BASICO,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,70bfe7c78a59
16-01-0136-45,16-005,ALTA VERAPAZ,COBAN,INEB,6A AVE 1-15 ZONA 4,7951-3568,NORA LILIANA FIGUEROA HERNÁNDEZ,WUENDY LUCRECIA ESTRADA BEDOYA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,cb3261633986
16-01-0138-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO COBAN,"KM.2 SALIDA A SAN JUAN CHAMELCO, ZONA 8",7794-5104,PATRICIO NAJARRO ASENCIO,GUSTAVO ADOLFO SIERRA POP,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,849dd8f4db1b
16-01-0139-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,7736-7402,PATRICIO NAJARRO ASENCIO,GILMA DOLORES GUAY PAZ DE LEAL,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,c5c95c1878d6
16-01-0140-45,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A. AVENIDA 11-109 ZONA 6,7823-2301,PATRICIO NAJARRO ASENCIO,VIRGINIA SOLANO SERRANO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,80a75d508d88
16-01-0146-45,16-003,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,ALDEA SAMOX SAN LUCAS,3183-6449,JOSE ARTURO CHOC CHEN,DEBORA ESMERALDA NATARENO FLORES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,4a79ea345cfa
16-01-0148-45,16-003,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,ALDEA CAMCAL,4534-1151,JOSE ARTURO CHOC CHEN,DOMINGO TOT COY,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,10c32d0579af
16-01-0154-45,16-031,ALTA VERAPAZ,COBAN,"LICEO ""MODERNO LATINO""",11 AVENIDA 5-17 ZONA 4,7952-2555,PATRICIO NAJARRO ASENCIO,HÉCTOR ARMANDO TEYUL CHEN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,96fc61415c2b
16-01-0391-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA,"2A. CALLE 12-23, ZONA 4",7951-1459,PATRICIO NAJARRO ASENCIO,JORGE SALVADOR JUÁREZ SIERRA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,a6c885218eb0
