id_estab,CODIGO,ESTABLECIMIENTO,MUNICIPIO,DIRECCION,SECTOR,JORNADA,PLAN,MODALIDAD
327e30762f92,03-10-0016-45,INSTITUTO MUNICIPAL MIXTO DE EDUCACION,MAGDALENA MILPAS ALTAS,"4A. CALLE ""A"", B-06 ZONA 1",PRIVADO,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),MONOLINGUE
327e30762f92,03-10-0017-46,INSTITUTO MUNICIPAL MIXTO DE EDUCACIÓN,MAGDALENA MILPAS ALTAS,"4A.CALLE ""A"", B-06 ZONA 1",MUNICIPAL,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),MONOLINGUE
3906b55047c6,04-06-3259-46,"INSTITUTO MIXTO DE EDUCACION MUNICIPAL ""VALLE DEL SOL""",TECPAN GUATEMALA,ALDEA PAQUIP,MUNICIPAL,MATUTINA,DIARIO(REGULAR),MONOLINGUE
3906b55047c6,04-06-0094-46,"INSTITUTO MIXTO DE EDUCACIÓN MUNICIPAL ""VALLE DEL SOL""",TECPAN GUATEMALA,ALDEA PAQUIP,PRIVADO,VESPERTINA,DIARIO(REGULAR),MONOLINGUE
3a62e9b8ffdd,11-06-0079-45,"INSTITUTO MIXTO MUNICIPAL ""MARÍA FLORENCIA ARTEAGA""",SAN ANDRES VILLA SECA,CABECERA MUNICIPAL ZONA 1,PRIVADO,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),MONOLINGUE
3a62e9b8ffdd,11-06-0080-46,"INSTITUTO MIXTO MUNICIPAL ""MARÍA FLORENCIA ARTEAGA""",SAN ANDRES VILLA SECA,CABECERA MUNICIPAL ZONA 1,PRIVADO,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),MONOLINGUE
3a62e9b8ffdd,11-06-0085-46,INSTITUTO MIXTO MUNICIPAL MARÍA FLORENCIA ARTEAGA,SAN ANDRES VILLA SECA,CABECERA MUNICIPAL ZONA 1,MUNICIPAL,DOBLE,FIN DE SEMANA,MONOLINGUE
4d8b12320363,03-05-1131-45,INSTITUTO MIXTO MUNICIPAL NAWAL,SANTO DOMINGO XENACOJ,CHICACOTOJ COLONIA EL ESFUERZO,MUNICIPAL,DOBLE,FIN DE SEMANA,MONOLINGUE
4d8b12320363,03-05-0029-45,INSTITUTO MIXTO MUNICIPAL NAWAL,SANTO DOMINGO XENACOJ,"CHICACOTOJ, COLONIA EL ESFUERZO",PRIVADO,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),MONOLINGUE
4d8b12320363,03-05-0030-46,INSTITUTO MIXTO MUNICIPAL NAWAL,SANTO DOMINGO XENACOJ,"CHICACOTOJ, COLONIA EL ESFUERZO",PRIVADO,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),MONOLINGUE
7c01aa66a496,12-19-0116-46,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,SAN PABLO,CABECERA MUNICIPAL,PRIVADO,DOBLE,DIARIO(REGULAR),MONOLINGUE
7c01aa66a496,12-19-0112-46,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,SAN PABLO,CABECERA MUNICIPAL,MUNICIPAL,VESPERTINA,DIARIO(REGULAR),MONOLINGUE
c37b42273352,12-24-0069-46,"COLEGIO EVANGELICO MIXTO ""PLENITUD""",SAN JOSE OJETENAM,CABECERA MUNICIPAL,PRIVADO,VESPERTINA,DIARIO(REGULAR),MONOLINGUE
c37b42273352,12-24-0070-46,COLEGIO EVANGÉLICO MIXTO PLENITUD,SAN JOSE OJETENAM,CABECERA MUNICIPAL,OFICIAL,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),MONOLINGUE
f427f10ee2a0,05-07-0048-46,INSTITUTO MUNICIPAL DE EDUCACION BASICA POR MADUREZ Y DIVERSIFICADO,LA GOMERA,ESCUELA OFICIAL RURAL MIXTA ALDEA CEIBA AMELIA,PRIVADO,DOBLE,FIN DE SEMANA,MONOLINGUE
f427f10ee2a0,05-07-0069-46,INSTITUTO MUNICIPAL DE EDUCACIÓN BÁSICA POR MADUREZ Y DIVERSIFICADO.,LA GOMERA,ESCUELA OFICIAL RURAL MIXTA. ALDEA CEIBA AMELIA.,MUNICIPAL,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),MONOLINGUE
f427f10ee2a0,05-07-0068-45,INSTITUTO MUNICIPAL DE EDUCACIÓN BÁSICA POR MADUREZ Y DIVERSIFICADO..,LA GOMERA,ESCUELA OFICIAL RURAL MIXTA. ALDEA CEIBA AMELIA,MUNICIPAL,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),MONOLINGUE
